,Season,Team,Salary Cap,Total Salary
0,1990-91,Atlanta Hawks,11871000,11761000
1,1990-91,Boston Celtics,11871000,11256000
2,1990-91,Charlotte Hornets,11871000,10417000
3,1990-91,Chicago Bulls,11871000,10040000
4,1990-91,Cleveland Cavaliers,11871000,14403000
5,1990-91,Dallas Mavericks,11871000,11693000
6,1990-91,Denver Nuggets,11871000,10335000
7,1990-91,Detroit Pistons,11871000,12910000
8,1990-91,Golden State Warriors,11871000,11150000
9,1990-91,Houston Rockets,11871000,10500000
10,1990-91,Indiana Pacers,11871000,10981000
11,1990-91,Los Angeles Clippers,11871000,10245000
12,1990-91,Los Angeles Lakers,11871000,12120000
13,1990-91,Miami Heat,11871000,8510000
14,1990-91,Milwaukee Bucks,11871000,11595000
15,1990-91,Minnesota Timberwolves,11871000,7540000
16,1990-91,New Jersey Nets,11871000,11410000
17,1990-91,New York Knicks,11871000,13290000
18,1990-91,Orlando Magic,11871000,7532000
19,1990-91,Philadelphia 76ers,11871000,11640000
20,1990-91,Phoenix Suns,11871000,11463000
21,1990-91,Portland Trailblazers,11871000,11215000
22,1990-91,Sacramento Kings,11871000,9605000
23,1990-91,San Antonio Spurs,11871000,11057000
24,1990-91,Seattle SuperSonics,11871000,10590000
25,1990-91,Utah Jazz,11871000,10695000
26,1990-91,Washington Bullets,11871000,9610000
27,1991-92,Atlanta Hawks,12500000,12930000
28,1991-92,Boston Celtics,12500000,25343000
29,1991-92,Charlotte Hornets,12500000,12625000
30,1991-92,Chicago Bulls,12500000,16829000
31,1991-92,Cleveland Cavaliers,12500000,16882000
32,1991-92,Dallas Mavericks,12500000,13004000
33,1991-92,Denver Nuggets,12500000,11879000
34,1991-92,Detroit Pistons,12500000,15428000
35,1991-92,Golden State Warriors,12500000,12500000
36,1991-92,Houston Rockets,12500000,13274000
37,1991-92,Indiana Pacers,12500000,15090000
38,1991-92,Los Angeles Clippers,12500000,12976000
39,1991-92,Los Angeles Lakers,12500000,15673000
40,1991-92,Miami Heat,12500000,11514000
41,1991-92,Milwaukee Bucks,12500000,12451000
42,1991-92,Minnesota Timberwolves,12500000,10763000
43,1991-92,New Jersey Nets,12500000,12598000
44,1991-92,New York Knicks,12500000,12399000
45,1991-92,Orlando Magic,12500000,12250000
46,1991-92,Philadelphia 76ers,12500000,14058000
47,1991-92,Phoenix Suns,12500000,13593000
48,1991-92,Portland Trailblazers,12500000,12742000
49,1991-92,Sacramento Kings,12500000,12492000
