Rank,Team,Current Value in Billions,1-Yr Value Change %,% Debt/Value,Revenue in Millions,Operating Income in Millions,State,Source
1,New York Knicks,$4 B,11%,1%,$443 M,$155 M,NY,https://www.forbes.com/nba-valuations/list/#tab:overall
2,Los Angeles Lakers,$3.7 B,12%,1%,$395 M,$147 M,CA,https://www.forbes.com/nba-valuations/list/#tab:overall
3,Golden State Warriors,$3.5 B,13%,23%,$401 M,$103 M,CA,https://www.forbes.com/nba-valuations/list/#tab:overall
4,Chicago Bulls,$2.9 B,12%,3%,$287 M,$114 M,IL,https://www.forbes.com/nba-valuations/list/#tab:overall
5,Boston Celtics,$2.8 B,12%,6%,$287 M,$100 M,MA,https://www.forbes.com/nba-valuations/list/#tab:overall
6,Brooklyn Nets,$2.35 B,2%,9%,$290 M,$53 M,NY,https://www.forbes.com/nba-valuations/list/#tab:overall
7,Houston Rockets,$2.3 B,5%,8%,$326 M,$103 M,TX,https://www.forbes.com/nba-valuations/list/#tab:overall
8,Dallas Mavericks,$2.25 B,18%,10%,$287 M,$99 M,TX,https://www.forbes.com/nba-valuations/list/#tab:overall
9,Los Angeles Clippers,$2.2 B,2%,0%,$258 M,$40 M,CA,https://www.forbes.com/nba-valuations/list/#tab:overall
10,Miami Heat,$1.75 B,3%,23%,$259 M,$40 M,FL,https://www.forbes.com/nba-valuations/list/#tab:overall
11,Toronto Raptors,$1.675 B,20%,7%,$275 M,$76 M,Canada,https://www.forbes.com/nba-valuations/list/#tab:overall
12,Philadelphia 76ers,$1.65 B,40%,6%,$268 M,$68 M,PA,https://www.forbes.com/nba-valuations/list/#tab:overall
13,San Antonio Spurs,$1.625 B,5%,6%,$262 M,$63 M,TX,https://www.forbes.com/nba-valuations/list/#tab:overall
14,Portland Trail Blazers,$1.6 B,23%,8%,$246 M,$40 M,OR,https://www.forbes.com/nba-valuations/list/#tab:overall
15,Sacramento Kings,$1.575 B,15%,34%,$263 M,$72 M,CA,https://www.forbes.com/nba-valuations/list/#tab:overall
16,Washington Wizards,$1.55 B,15%,8%,$255 M,$34 M,DC,https://www.forbes.com/nba-valuations/list/#tab:overall
17,Phoenix Suns,$1.5 B,17%,12%,$235 M,$47 M,AZ,https://www.forbes.com/nba-valuations/list/#tab:overall
18,Oklahoma City Thunder,$1.475 B,18%,9%,$241 M,$10 M,OK,https://www.forbes.com/nba-valuations/list/#tab:overall
19,Utah Jazz,$1.425 B,19%,7%,$243 M,$59 M,UT,https://www.forbes.com/nba-valuations/list/#tab:overall
20,Indiana Pacers,$1.4 B,19%,9%,$222 M,$50 M,IN,https://www.forbes.com/nba-valuations/list/#tab:overall
21,Denver Nuggets,$1.375 B,22%,0%,$222 M,$47 M,CO,https://www.forbes.com/nba-valuations/list/#tab:overall
22,Milwaukee Bucks,$1.35 B,26%,31%,$204 M,$25 M,WI,https://www.forbes.com/nba-valuations/list/#tab:overall
23,Orlando Magic,$1.325 B,8%,11%,$223 M,$64 M,FL,https://www.forbes.com/nba-valuations/list/#tab:overall
24,Atlanta Hawks,$1.3 B,13%,19%,$215 M,$42 M,GA,https://www.forbes.com/nba-valuations/list/#tab:overall
25,Cleveland Cavaliers,$1.275 B,-4%,16%,$302 M,$-13 M,OH,https://www.forbes.com/nba-valuations/list/#tab:overall
26,Detroit Pistons,$1.27 B,15%,12%,$235 M,$52 M,MI,https://www.forbes.com/nba-valuations/list/#tab:overall
27,Minnesota Timberwolves,$1.26 B,19%,12%,$223 M,$47 M,MN,https://www.forbes.com/nba-valuations/list/#tab:overall
28,Charlotte Hornets,$1.25 B,19%,12%,$213 M,$22 M,NC,https://www.forbes.com/nba-valuations/list/#tab:overall
29,New Orleans Pelicans,$1.22 B,22%,14%,$214 M,$29 M,LA,https://www.forbes.com/nba-valuations/list/#tab:overall
30,Memphis Grizzlies,$1.2 B,17%,27%,$213 M,$27 M,TN,https://www.forbes.com/nba-valuations/list/#tab:overall
