,Season,Team,Player,Salary
0,2017-18,Atlanta Hawks,Kent Bazemore,16910113
1,2017-18,Atlanta Hawks,Dennis Schroder,15500000
2,2017-18,Atlanta Hawks,Miles Plumlee,12500000
3,2017-18,Atlanta Hawks,Jamal Crawford,10942762
4,2017-18,Atlanta Hawks,Marco Belinelli,6306060
5,2017-18,Atlanta Hawks,Dewayne Dedmon,6000000
6,2017-18,Atlanta Hawks,Ersan Ilyasova,6000000
7,2017-18,Atlanta Hawks,Mike Muscala,5000000
8,2017-18,Atlanta Hawks,Richard Jefferson,2500000
9,2017-18,Atlanta Hawks,Malcolm Delaney,2500000
10,2017-18,Atlanta Hawks,Taurean Waller-Prince,2422560
11,2017-18,Atlanta Hawks,John Collins,1936920
12,2017-18,Atlanta Hawks,Mike Dunleavy,1662500
13,2017-18,Atlanta Hawks,DeAndre' Bembry,1567200
14,2017-18,Atlanta Hawks,Nicolas Brussino,1312611
15,2017-18,Atlanta Hawks,Diamond Stone,1312611
16,2017-18,Atlanta Hawks,Sheldon Mac,1312611
17,2017-18,Atlanta Hawks,Okaro White,1312611
18,2017-18,Atlanta Hawks,Isaiah Taylor,1312611
19,2017-18,Atlanta Hawks,Tyler Dorsey,815615
20,2017-18,Atlanta Hawks,Tyler Cavanaugh,679919
21,2017-18,Atlanta Hawks,Jeremy Evans,104059
22,2017-18,Atlanta Hawks,Quinn Cook,100000
23,2017-18,Atlanta Hawks,Jaylen Morris,92160
24,2017-18,Atlanta Hawks,Antonius Cleveland,92160
25,2017-18,Atlanta Hawks,Damion Lee,92160
26,2017-18,Atlanta Hawks,Tyler Cavanaugh,50000
27,2017-18,Atlanta Hawks,Jeremy Evans,50000
28,2017-18,Atlanta Hawks,DeAndre Liggins,26773
29,2017-18,Boston Celtics,Gordon Hayward,29727900
30,2017-18,Boston Celtics,Al Horford,27734405
31,2017-18,Boston Celtics,Kyrie Irving,18868625
32,2017-18,Boston Celtics,Jayson Tatum,5645400
33,2017-18,Boston Celtics,Marcus Morris,5000000
34,2017-18,Boston Celtics,Greg Monroe,5000000
35,2017-18,Boston Celtics,Jaylen Brown,4956480
36,2017-18,Boston Celtics,Marcus Smart,4538020
37,2017-18,Boston Celtics,Aron Baynes,4328000
38,2017-18,Boston Celtics,Guerschon Yabusele,2247480
39,2017-18,Boston Celtics,Terry Rozier,1988520
40,2017-18,Boston Celtics,Shane Larkin,1524305
41,2017-18,Boston Celtics,Semi Ojeleye,1291892
42,2017-18,Boston Celtics,Abdel Nader,1167333
43,2017-18,Boston Celtics,Daniel Theis,815615
44,2017-18,Boston Celtics,Demetrius Jackson,92858
45,2017-18,Boston Celtics,Jarell Eddie,83129
46,2017-18,Boston Celtics,Xavier Silas,74159
47,2017-18,Brooklyn Nets,Allen Crabbe,19332500
48,2017-18,Brooklyn Nets,Timofey Mozgov,15280000
49,2017-18,Brooklyn Nets,DeMarre Carroll,14800000
50,2017-18,Brooklyn Nets,Jeremy Lin,12000000
51,2017-18,Brooklyn Nets,D'Angelo Russell,5562360
52,2017-18,Brooklyn Nets,Deron Williams,5500000
53,2017-18,Brooklyn Nets,Jahlil Okafor,4995120
54,2017-18,Brooklyn Nets,Nik Stauskas,3807146
55,2017-18,Brooklyn Nets,Dante Cunningham,2300000
56,2017-18,Brooklyn Nets,Jarrett Allen,1713720
57,2017-18,Brooklyn Nets,Quincy Acy,1709538
58,2017-18,Brooklyn Nets,Caris LeVert,1632480
59,2017-18,Brooklyn Nets,Sean Kilpatrick,1524305
60,2017-18,Brooklyn Nets,Spencer Dinwiddie,1524305
61,2017-18,Brooklyn Nets,Joe Harris,1524305
62,2017-18,Brooklyn Nets,Rondae Hollis-Jefferson,1471382
63,2017-18,Brooklyn Nets,Isaiah Whitehead,1312611
64,2017-18,Brooklyn Nets,Yakuba Ouattara,50000
65,2017-18,Charlotte Hornets,Dwight Howard,23500000
66,2017-18,Charlotte Hornets,Nicolas Batum,22434783
67,2017-18,Charlotte Hornets,Marvin Williams,13168750
68,2017-18,Charlotte Hornets,Michael Kidd-Gilchrist,13000000
69,2017-18,Charlotte Hornets,Cody Zeller,12584270
70,2017-18,Charlotte Hornets,Kemba Walker,12000000
71,2017-18,Charlotte Hornets,Jeremy Lamb,7000000
72,2017-18,Charlotte Hornets,Malik Monk,2904480
73,2017-18,Charlotte Hornets,Frank Kaminsky,2847600
74,2017-18,Charlotte Hornets,Michael Carter-Williams,2700000
75,2017-18,Charlotte Hornets,Julyan Stone,1524305
76,2017-18,Charlotte Hornets,Willy Hernangomez,1435750
77,2017-18,Charlotte Hornets,Treveon Graham,1312611
78,2017-18,Charlotte Hornets,Dwayne Bacon,815615
79,2017-18,Chicago Bulls,Dwyane Wade,15550000
80,2017-18,Chicago Bulls,Robin Lopez,13788500
81,2017-18,Chicago Bulls,Omer Asik,10595505
82,2017-18,Chicago Bulls,Cristiano Felicio,7843500
83,2017-18,Chicago Bulls,Justin Holiday,4615385
84,2017-18,Chicago Bulls,Kris Dunn,4046760
85,2017-18,Chicago Bulls,Quincy Pondexter,3853931
86,2017-18,Chicago Bulls,Lauri Markkanen,3821640
87,2017-18,Chicago Bulls,Noah Vonleh,3505233
88,2017-18,Chicago Bulls,Zach LaVine,3202217
89,2017-18,Chicago Bulls,Rajon Rondo,3000000
90,2017-18,Chicago Bulls,Cameron Payne,2203440
91,2017-18,Chicago Bulls,Denzel Valentine,2186400
92,2017-18,Chicago Bulls,Tony Allen,2116955
93,2017-18,Chicago Bulls,Jerian Grant,1713840
94,2017-18,Chicago Bulls,Willie Reed,1577230
95,2017-18,Chicago Bulls,Bobby Portis,1516320
96,2017-18,Chicago Bulls,Paul Zipser,1312611
97,2017-18,Chicago Bulls,David Nwaba,1312611
98,2017-18,Chicago Bulls,Kay Felder,1312611
99,2017-18,Chicago Bulls,Isaiah Canaan,200000
100,2017-18,Chicago Bulls,Jarell Eddie,83129
101,2017-18,Chicago Bulls,Diamond Stone,50000
102,2017-18,Chicago Bulls,Jarell Eddie,17224
103,2017-18,Cleveland Cavaliers,LeBron James,33285709
104,2017-18,Cleveland Cavaliers,Kevin Love,22642350
105,2017-18,Cleveland Cavaliers,George Hill,20000000
106,2017-18,Cleveland Cavaliers,Tristan Thompson,16400000
107,2017-18,Cleveland Cavaliers,J.R. Smith,13760000
108,2017-18,Cleveland Cavaliers,Jordan Clarkson,11562500
109,2017-18,Cleveland Cavaliers,Kyle Korver,7000000
110,2017-18,Cleveland Cavaliers,Cedi Osman,2642857
111,2017-18,Cleveland Cavaliers,Rodney Hood,2386864
112,2017-18,Cleveland Cavaliers,Jose Calderon,2328652
113,2017-18,Cleveland Cavaliers,Jeff Green,2116955
114,2017-18,Cleveland Cavaliers,Ante Zizic,1645200
115,2017-18,Cleveland Cavaliers,Larry Nance,1471382
116,2017-18,Cleveland Cavaliers,Okaro White,74159
117,2017-18,Cleveland Cavaliers,Marcus Thornton,46080
118,2017-18,Dallas Mavericks,Harrison Barnes,23112004
119,2017-18,Dallas Mavericks,Wesley Matthews,17884176
120,2017-18,Dallas Mavericks,Dwight Powell,9003125
121,2017-18,Dallas Mavericks,Josh McRoberts,6021175
122,2017-18,Dallas Mavericks,Dirk Nowitzki,5000000
123,2017-18,Dallas Mavericks,Nerlens Noel,4187599
124,2017-18,Dallas Mavericks,J.J. Barea,3903900
125,2017-18,Dallas Mavericks,Doug McDermott,3294994
126,2017-18,Dallas Mavericks,Dennis Smith,3218280
127,2017-18,Dallas Mavericks,Seth Curry,3028410
128,2017-18,Dallas Mavericks,Jeff Withey,1577320
129,2017-18,Dallas Mavericks,Salah Mejri,1471382
130,2017-18,Dallas Mavericks,Dorian Finney-Smith,1312611
131,2017-18,Dallas Mavericks,Yogi Ferrell,1312611
132,2017-18,Dallas Mavericks,Maxi Kleber,815615
133,2017-18,Dallas Mavericks,Gal Mekel,315760
134,2017-18,Dallas Mavericks,Kyle Collinsworth,92160
135,2017-18,Dallas Mavericks,Aaron Harrison,83129
136,2017-18,Dallas Mavericks,Scotty Hopson,74159
137,2017-18,Dallas Mavericks,Kyle Collinsworth,50000
138,2017-18,Dallas Mavericks,Gian Clavell,50000
139,2017-18,Dallas Mavericks,Antonius Cleveland,50000
140,2017-18,Dallas Mavericks,Jameel Warney,46080
141,2017-18,Denver Nuggets,Paul Millsap,31269231
142,2017-18,Denver Nuggets,Mason Plumlee,14041096
143,2017-18,Denver Nuggets,Kenneth Faried,12921348
144,2017-18,Denver Nuggets,Wilson Chandler,12016854
145,2017-18,Denver Nuggets,Darrell Arthur,7464912
146,2017-18,Denver Nuggets,Jameer Nelson,4736050
147,2017-18,Denver Nuggets,Devin Harris,4402546
148,2017-18,Denver Nuggets,Will Barton,3533333
149,2017-18,Denver Nuggets,Jamal Murray,3355320
150,2017-18,Denver Nuggets,Gary Harris,2550055
151,2017-18,Denver Nuggets,Trey Lyles,2441400
152,2017-18,Denver Nuggets,Richard Jefferson,2328652
153,2017-18,Denver Nuggets,Juan Hernangomez,2076840
154,2017-18,Denver Nuggets,Malik Beasley,1700640
155,2017-18,Denver Nuggets,Tyler Lydon,1579440
156,2017-18,Denver Nuggets,Nikola Jokic,1471382
157,2017-18,Detroit Pistons,Blake Griffin,29512900
158,2017-18,Detroit Pistons,Andre Drummond,23775506
159,2017-18,Detroit Pistons,Reggie Jackson,16000000
160,2017-18,Detroit Pistons,Jon Leuer,10497319
161,2017-18,Detroit Pistons,Langston Galloway,6666667
162,2017-18,Detroit Pistons,Ish Smith,6000000
163,2017-18,Detroit Pistons,Josh Smith,5400000
164,2017-18,Detroit Pistons,Anthony Tolliver,3290000
165,2017-18,Detroit Pistons,Stanley Johnson,3097800
166,2017-18,Detroit Pistons,James Ennis,3028410
167,2017-18,Detroit Pistons,Luke Kennard,2759280
168,2017-18,Detroit Pistons,Reggie Bullock,2500000
169,2017-18,Detroit Pistons,Jameer Nelson,2262871
170,2017-18,Detroit Pistons,Henry Ellenson,1780800
171,2017-18,Detroit Pistons,Eric Moreland,1739333
172,2017-18,Detroit Pistons,Dwight Buycks,748160
173,2017-18,Detroit Pistons,Michael Gbinije,500000
174,2017-18,Detroit Pistons,Aaron Gray,452059
175,2017-18,Detroit Pistons,Luis Montero,50000
176,2017-18,Detroit Pistons,Beno Udrih,25000
177,2017-18,Golden State Warriors,Stephen Curry,34682550
178,2017-18,Golden State Warriors,Kevin Durant,25000000
179,2017-18,Golden State Warriors,Klay Thompson,17826150
180,2017-18,Golden State Warriors,Draymond Green,16400000
181,2017-18,Golden State Warriors,Andre Iguodala,14814815
182,2017-18,Golden State Warriors,Shaun Livingston,7692308
183,2017-18,Golden State Warriors,Nick Young,5192000
184,2017-18,Golden State Warriors,Zaza Pachulia,3477600
185,2017-18,Golden State Warriors,David West,2328652
186,2017-18,Golden State Warriors,JaVale McGee,2116955
187,2017-18,Golden State Warriors,Omri Casspi,2106470
188,2017-18,Golden State Warriors,Kevon Looney,1471382
189,2017-18,Golden State Warriors,Damian Jones,1312611
190,2017-18,Golden State Warriors,Patrick McCaw,1312611
191,2017-18,Golden State Warriors,Jason Thompson,945126
192,2017-18,Golden State Warriors,Jordan Bell,815615
193,2017-18,Houston Rockets,James Harden,28299399
194,2017-18,Houston Rockets,Chris Paul,24599495
195,2017-18,Houston Rockets,Ryan Anderson,19578455
196,2017-18,Houston Rockets,Eric Gordon,12943020
197,2017-18,Houston Rockets,P.J. Tucker,7590035
198,2017-18,Houston Rockets,Trevor Ariza,7420912
199,2017-18,Houston Rockets,Nene Hilario,3477600
200,2017-18,Houston Rockets,Tarik Black,3290000
201,2017-18,Houston Rockets,Clint Capela,2334520
202,2017-18,Houston Rockets,Luc Mbah a Moute,2116955
203,2017-18,Houston Rockets,Bobby Brown,1524305
204,2017-18,Houston Rockets,Troy Williams,1471382
205,2017-18,Houston Rockets,Chinanu Onuaku,1312611
206,2017-18,Houston Rockets,Gerald Green,947248
207,2017-18,Houston Rockets,Zhou Qi,815615
208,2017-18,Houston Rockets,Joe Johnson,749905
209,2017-18,Houston Rockets,Cameron Oliver,300000
210,2017-18,Houston Rockets,Demetrius Jackson,74159
211,2017-18,Houston Rockets,Isaiah Canaan,53465
212,2017-18,Houston Rockets,Demetrius Jackson,50000
213,2017-18,Houston Rockets,Briante Weber,50000
214,2017-18,Houston Rockets,Le'Bryan Nash,46080
215,2017-18,Houston Rockets,Chris Johnson,25000
216,2017-18,Indiana Pacers,Victor Oladipo,21000000
217,2017-18,Indiana Pacers,Thaddeus Young,14796348
218,2017-18,Indiana Pacers,Bojan Bogdanovic,10500000
219,2017-18,Indiana Pacers,Darren Collison,10000000
220,2017-18,Indiana Pacers,Al Jefferson,9769821
221,2017-18,Indiana Pacers,Cory Joseph,7630000
222,2017-18,Indiana Pacers,Lance Stephenson,4180000
223,2017-18,Indiana Pacers,Myles Turner,2569920
224,2017-18,Indiana Pacers,Domantas Sabonis,2550000
225,2017-18,Indiana Pacers,Monta Ellis,2245400
226,2017-18,Indiana Pacers,Damien Wilkins,2116955
227,2017-18,Indiana Pacers,T.J. Leaf,2028360
228,2017-18,Indiana Pacers,Glenn Robinson,1524305
229,2017-18,Indiana Pacers,Joe Young,1471382
230,2017-18,Indiana Pacers,Ike Anigbogu,950000
231,2017-18,Indiana Pacers,Alex Poythress,778668
232,2017-18,Indiana Pacers,Rakeem Christmas,172552
233,2017-18,Indiana Pacers,Georges Niang,100000
234,2017-18,Indiana Pacers,Trey McKinney-Jones,46080
235,2017-18,Los Angeles Clippers,DeAndre Jordan,22642350
236,2017-18,Los Angeles Clippers,Danilo Gallinari,20559599
237,2017-18,Los Angeles Clippers,Tobias Harris,16000000
238,2017-18,Los Angeles Clippers,Marcin Gortat,12782609
239,2017-18,Los Angeles Clippers,Avery Bradley,8808989
240,2017-18,Los Angeles Clippers,Lou Williams,7000000
241,2017-18,Los Angeles Clippers,Boban Marjanovic,7000000
242,2017-18,Los Angeles Clippers,Milos Teodosic,6000000
243,2017-18,Los Angeles Clippers,Wesley Johnson,5881260
244,2017-18,Los Angeles Clippers,Patrick Beverley,5513514
245,2017-18,Los Angeles Clippers,Sam Dekker,1794600
246,2017-18,Los Angeles Clippers,Montrezl Harrell,1471382
247,2017-18,Los Angeles Clippers,Paul Pierce,1096080
248,2017-18,Los Angeles Clippers,Jawun Evans,815615
249,2017-18,Los Angeles Clippers,Sindarius Thornwell,815615
250,2017-18,Los Angeles Clippers,Carlos Delfino,650000
251,2017-18,Los Angeles Clippers,Jordan Farmar,510921
252,2017-18,Los Angeles Clippers,Miroslav Raduljica,300000
253,2017-18,Los Angeles Clippers,Sean Kilpatrick,172238
254,2017-18,Los Angeles Clippers,Jamil Wilson,50000
255,2017-18,Los Angeles Lakers,Brook Lopez,22642350
256,2017-18,Los Angeles Lakers,Kentavious Caldwell-Pope,17745894
257,2017-18,Los Angeles Lakers,Luol Deng,17190000
258,2017-18,Los Angeles Lakers,Corey Brewer,7579366
259,2017-18,Los Angeles Lakers,Channing Frye,7420912
260,2017-18,Los Angeles Lakers,Lonzo Ball,6286560
261,2017-18,Los Angeles Lakers,Isaiah Thomas,6261395
262,2017-18,Los Angeles Lakers,Brandon Ingram,5519400
263,2017-18,Los Angeles Lakers,Julius Randle,4149242
264,2017-18,Los Angeles Lakers,Andrew Bogut,2328652
265,2017-18,Los Angeles Lakers,Tyler Ennis,1524305
266,2017-18,Los Angeles Lakers,Kyle Kuzma,1423560
267,2017-18,Los Angeles Lakers,Josh Hart,1394520
268,2017-18,Los Angeles Lakers,Ivica Zubac,1312611
269,2017-18,Los Angeles Lakers,Stephen Zimmerman,1312611
270,2017-18,Los Angeles Lakers,Thomas Bryant,815615
271,2017-18,Los Angeles Lakers,Travis Wear,148318
272,2017-18,Los Angeles Lakers,Derrick Williams,104059
273,2017-18,Los Angeles Lakers,V.J. Beachem,50000
274,2017-18,Los Angeles Lakers,Briante Weber,50000
275,2017-18,Los Angeles Lakers,Vander Blue,50000
276,2017-18,Los Angeles Lakers,Nigel Hayes,46080
277,2017-18,Memphis Grizzlies,Mike Conley,28530608
278,2017-18,Memphis Grizzlies,Chandler Parsons,23112004
279,2017-18,Memphis Grizzlies,Marc Gasol,22642350
280,2017-18,Memphis Grizzlies,JaMychal Green,8533333
281,2017-18,Memphis Grizzlies,Ben McLemore,5200000
282,2017-18,Memphis Grizzlies,Brandan Wright,5179760
283,2017-18,Memphis Grizzlies,Tyreke Evans,3290000
284,2017-18,Memphis Grizzlies,Mario Chalmers,2106407
285,2017-18,Memphis Grizzlies,Wade Baldwin,1874400
286,2017-18,Memphis Grizzlies,Jarell Martin,1471382
287,2017-18,Memphis Grizzlies,Brice Johnson,1331160
288,2017-18,Memphis Grizzlies,Deyonta Davis,1312611
289,2017-18,Memphis Grizzlies,Wayne Selden,1312611
290,2017-18,Memphis Grizzlies,Andrew Harrison,1312611
291,2017-18,Memphis Grizzlies,Rade Zagorac,950000
292,2017-18,Memphis Grizzlies,Ivan Rabb,950000
293,2017-18,Memphis Grizzlies,Dillon Brooks,815615
294,2017-18,Memphis Grizzlies,MarShon Brooks,86119
295,2017-18,Memphis Grizzlies,Marquis Teague,83129
296,2017-18,Memphis Grizzlies,Briante Weber,83129
297,2017-18,Memphis Grizzlies,Vince Hunter,50000
298,2017-18,Memphis Grizzlies,Xavier Rathan-Mayes,46080
299,2017-18,Miami Heat,Chris Bosh,25289390
300,2017-18,Miami Heat,Hassan Whiteside,23775506
301,2017-18,Miami Heat,Goran Dragic,17000450
302,2017-18,Miami Heat,James Johnson,13954000
303,2017-18,Miami Heat,Dion Waiters,11000000
304,2017-18,Miami Heat,Kelly Olynyk,10607169
305,2017-18,Miami Heat,Wayne Ellington,6270000
306,2017-18,Miami Heat,Tyler Johnson,5881260
307,2017-18,Miami Heat,Justise Winslow,2705040
308,2017-18,Miami Heat,Bam Adebayo,2490360
309,2017-18,Miami Heat,Dwyane Wade,2328652
310,2017-18,Miami Heat,Udonis Haslem,2328652
311,2017-18,Miami Heat,Luke Babbitt,1974159
312,2017-18,Miami Heat,Josh Richardson,1471382
313,2017-18,Miami Heat,Jordan Mickey,1471382
314,2017-18,Miami Heat,A.J. Hammons,1312611
315,2017-18,Miami Heat,Rodney McGruder,1312611
316,2017-18,Miami Heat,Matt Williams,50000
317,2017-18,Milwaukee Bucks,Giannis Antetokounmpo,22471910
318,2017-18,Milwaukee Bucks,Eric Bledsoe,14500000
319,2017-18,Milwaukee Bucks,Khris Middleton,14100000
320,2017-18,Milwaukee Bucks,John Henson,11422536
321,2017-18,Milwaukee Bucks,Mirza Teletovic,10500000
322,2017-18,Milwaukee Bucks,Tony Snell,9821429
323,2017-18,Milwaukee Bucks,Matthew Dellavedova,9607500
324,2017-18,Milwaukee Bucks,Jabari Parker,6782392
325,2017-18,Milwaukee Bucks,Spencer Hawes,6021175
326,2017-18,Milwaukee Bucks,Thon Maker,2684160
327,2017-18,Milwaukee Bucks,Jason Terry,2328652
328,2017-18,Milwaukee Bucks,D.J. Wilson,2135040
329,2017-18,Milwaukee Bucks,Larry Sanders,1865547
330,2017-18,Milwaukee Bucks,Tyler Zeller,1709538
331,2017-18,Milwaukee Bucks,DeAndre Liggins,1577230
332,2017-18,Milwaukee Bucks,Malcolm Brogdon,1312611
333,2017-18,Milwaukee Bucks,Sterling Brown,815615
334,2017-18,Milwaukee Bucks,Sean Kilpatrick,789725
335,2017-18,Milwaukee Bucks,Brandon Jennings,238020
336,2017-18,Milwaukee Bucks,Jalen Moore,50000
337,2017-18,Milwaukee Bucks,Gary Payton,50000
338,2017-18,Milwaukee Bucks,Joel Bolomboy,22248
339,2017-18,Minnesota Timberwolves,Jimmy Butler,19301070
340,2017-18,Minnesota Timberwolves,Jeff Teague,19000000
341,2017-18,Minnesota Timberwolves,Gorgui Dieng,14112360
342,2017-18,Minnesota Timberwolves,Taj Gibson,14000000
343,2017-18,Minnesota Timberwolves,Nikola Pekovic,11600000
344,2017-18,Minnesota Timberwolves,Andrew Wiggins,7574322
345,2017-18,Minnesota Timberwolves,Cole Aldrich,7300000
346,2017-18,Minnesota Timberwolves,Karl-Anthony Towns,6216840
347,2017-18,Minnesota Timberwolves,Jamal Crawford,4328000
348,2017-18,Minnesota Timberwolves,Nemanja Bjelica,3949999
349,2017-18,Minnesota Timberwolves,Justin Patton,2247480
350,2017-18,Minnesota Timberwolves,Aaron Brooks,2116955
351,2017-18,Minnesota Timberwolves,Shabazz Muhammad,1577230
352,2017-18,Minnesota Timberwolves,Tyus Jones,1471382
353,2017-18,Minnesota Timberwolves,Kevin Martin,1360305
354,2017-18,Minnesota Timberwolves,Marcus Georges-Hunt,1312611
355,2017-18,New Orleans Pelicans,Jrue Holiday,25686667
356,2017-18,New Orleans Pelicans,Anthony Davis,23775506
357,2017-18,New Orleans Pelicans,DeMarcus Cousins,18063850
358,2017-18,New Orleans Pelicans,Nikola Mirotic,12500000
359,2017-18,New Orleans Pelicans,Solomon Hill,12236535
360,2017-18,New Orleans Pelicans,E'Twaun Moore,8445024
361,2017-18,New Orleans Pelicans,Alexis Ajinca,4961798
362,2017-18,New Orleans Pelicans,Rajon Rondo,3300000
363,2017-18,New Orleans Pelicans,Josh Smith,2183934
364,2017-18,New Orleans Pelicans,Darius Miller,2100000
365,2017-18,New Orleans Pelicans,Rashad Vaughn,1889040
366,2017-18,New Orleans Pelicans,Ian Clark,1577230
367,2017-18,New Orleans Pelicans,Cheick Diallo,1312611
368,2017-18,New Orleans Pelicans,Frank Jackson,815615
369,2017-18,New Orleans Pelicans,Jordan Crawford,250000
370,2017-18,New Orleans Pelicans,Emeka Okafor,239204
371,2017-18,New Orleans Pelicans,DeAndre Liggins,172238
372,2017-18,New Orleans Pelicans,Larry Drew,148318
373,2017-18,New Orleans Pelicans,"Walt Lemon, Jr.",92160
374,2017-18,New Orleans Pelicans,Quinn Cook,25000
375,2017-18,New Orleans Pelicans,Axel Toupane,25000
376,2017-18,New York Knicks,Enes Kanter,20566802
377,2017-18,New York Knicks,Joakim Noah,17765000
378,2017-18,New York Knicks,Tim Hardaway,16500000
379,2017-18,New York Knicks,Courtney Lee,11747890
380,2017-18,New York Knicks,Lance Thomas,6655325
381,2017-18,New York Knicks,Kristaps Porzingis,4503600
382,2017-18,New York Knicks,Ron Baker,4328000
383,2017-18,New York Knicks,Kyle O'Quinn,4087500
384,2017-18,New York Knicks,Frank Ntilikina,3501120
385,2017-18,New York Knicks,Emmanuel Mudiay,3381480
386,2017-18,New York Knicks,Mindaugas Kuzminskas,3025035
387,2017-18,New York Knicks,Ramon Sessions,2328652
388,2017-18,New York Knicks,Jarrett Jack,2328652
389,2017-18,New York Knicks,Michael Beasley,2116955
390,2017-18,New York Knicks,Johnny O'Bryant,1524305
391,2017-18,New York Knicks,Chasson Randle,1312611
392,2017-18,New York Knicks,Damyean Dotson,1100000
393,2017-18,New York Knicks,Trey Burke,784160
394,2017-18,New York Knicks,Troy Williams,148318
395,2017-18,New York Knicks,Marshall Plumlee,100000
396,2017-18,New York Knicks,Nigel Hayes,50000
397,2017-18,Oklahoma City Thunder,Russell Westbrook,28530608
398,2017-18,Oklahoma City Thunder,Carmelo Anthony,26243760
399,2017-18,Oklahoma City Thunder,Steven Adams,22471910
400,2017-18,Oklahoma City Thunder,Paul George,19508958
401,2017-18,Oklahoma City Thunder,Andre Roberson,9259259
402,2017-18,Oklahoma City Thunder,Alex Abrines,5725000
403,2017-18,Oklahoma City Thunder,Patrick Patterson,5192000
404,2017-18,Oklahoma City Thunder,Kyle Singler,4666500
405,2017-18,Oklahoma City Thunder,Ronnie Price,2442455
406,2017-18,Oklahoma City Thunder,Nick Collison,2328652
407,2017-18,Oklahoma City Thunder,Raymond Felton,2328652
408,2017-18,Oklahoma City Thunder,Terrance Ferguson,1785000
409,2017-18,Oklahoma City Thunder,Jerami Grant,1524305
410,2017-18,Oklahoma City Thunder,Josh Huestis,1471382
411,2017-18,Oklahoma City Thunder,Dakari Johnson,815615
412,2017-18,Orlando Magic,Evan Fournier,17000000
413,2017-18,Orlando Magic,Bismack Biyombo,17000000
414,2017-18,Orlando Magic,Nikola Vucevic,12250000
415,2017-18,Orlando Magic,Terrence Ross,10500000
416,2017-18,Orlando Magic,D.J. Augustin,7250000
417,2017-18,Orlando Magic,Jonathon Simmons,6300000
418,2017-18,Orlando Magic,Shelvin Mack,6000000
419,2017-18,Orlando Magic,Aaron Gordon,5504420
420,2017-18,Orlando Magic,Jonathan Isaac,4186320
421,2017-18,Orlando Magic,Mario Hezonja,4078320
422,2017-18,Orlando Magic,Arron Afflalo,2328652
423,2017-18,Orlando Magic,Marreese Speights,2116955
424,2017-18,Orlando Magic,Wesley Iwundu,1050000
425,2017-18,Orlando Magic,Khem Birch,815615
426,2017-18,Orlando Magic,C.J. Watson,333334
427,2017-18,Orlando Magic,Rashad Vaughn,166258
428,2017-18,Orlando Magic,Rodney Purvis,92160
429,2017-18,Philadelphia 76ers,J.J. Redick,23000000
430,2017-18,Philadelphia 76ers,Robert Covington,16698103
431,2017-18,Philadelphia 76ers,Amir Johnson,11000000
432,2017-18,Philadelphia 76ers,Trevor Booker,9125000
433,2017-18,Philadelphia 76ers,Jerryd Bayless,9000000
434,2017-18,Philadelphia 76ers,Markelle Fultz,7026240
435,2017-18,Philadelphia 76ers,Ben Simmons,6168840
436,2017-18,Philadelphia 76ers,Joel Embiid,6100266
437,2017-18,Philadelphia 76ers,Dario Saric,2422560
438,2017-18,Philadelphia 76ers,Justin Anderson,1579440
439,2017-18,Philadelphia 76ers,Richaun Holmes,1471382
440,2017-18,Philadelphia 76ers,T.J. McConnell,1471382
441,2017-18,Philadelphia 76ers,Furkan Korkmaz,1465920
442,2017-18,Philadelphia 76ers,Timothe Luwawu-Cabarrot,1386600
443,2017-18,Philadelphia 76ers,Gerald Henderson,1000000
444,2017-18,Philadelphia 76ers,Marco Belinelli,776217
445,2017-18,Philadelphia 76ers,Ersan Ilyasova,502328
446,2017-18,Philadelphia 76ers,Tibor Pleiss,500000
447,2017-18,Philadelphia 76ers,Jacob Pullen,50000
448,2017-18,Philadelphia 76ers,James Michael McAdoo,50000
449,2017-18,Phoenix Suns,Greg Monroe,17884176
450,2017-18,Phoenix Suns,Brandon Knight,13618750
451,2017-18,Phoenix Suns,Tyson Chandler,13000000
452,2017-18,Phoenix Suns,Jared Dudley,10000000
453,2017-18,Phoenix Suns,Alan Williams,6000000
454,2017-18,Phoenix Suns,Josh Jackson,5090040
455,2017-18,Phoenix Suns,Dragan Bender,4468800
456,2017-18,Phoenix Suns,Alex Len,4187599
457,2017-18,Phoenix Suns,Troy Daniels,3408520
458,2017-18,Phoenix Suns,Elfrid Payton,3332340
459,2017-18,Phoenix Suns,T.J. Warren,3152931
460,2017-18,Phoenix Suns,Marquese Chriss,3073800
